"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"25",8014,"Abdón Prats",16,665,5,2.19003173150122,1,1.70068558678031,14,10,1,0,"F S","Mallorca",5,2.19003173150122,3.54756263829768,1.08106918260455,"España","23-24",0.676691729323308,0.296395271932496,0.135338345864662,0.230167974150719,1.89473684210526,1.35338345864662,0.676691729323308,0.296395271932496,0.480121259318483,0.146310114938962,"red"
"26",8862,"Sergio Arribas",19,1247,5,5.59845290705562,1,1.62381770461798,36,21,0,0,"F M S","Almeria",5,5.59845290705562,8.02554143872112,1.5984495813027,"España","23-24",0.360866078588613,0.404058349346436,0.0721732157177225,0.117196145481651,2.59823576583801,1.51563753007217,0.360866078588613,0.404058349346436,0.579229133508341,0.115365246445263,"red"
"27",11735,"Sávio",19,1604,5,3.06351198907942,5,4.76051256619394,21,22,2,0,"F M","Girona",5,3.06351198907942,11.8308050148189,5.51594310626388,"España","23-24",0.280548628428928,0.171892817342361,0.280548628428928,0.267111054212877,1.1783042394015,1.23441396508728,0.280548628428928,0.171892817342361,0.663823224023504,0.309498054590866,"red"
"28",11831,"Samu",18,1018,5,8.1803249605,0,1.15074840560555,33,12,3,0,"F S","Alaves,Granada",5,8.1803249605,9.01211968809366,1.71194522641599,"España","23-24",0.442043222003929,0.723211440515717,0,0.101736106585952,2.91748526522593,1.06090373280943,0.442043222003929,0.723211440515717,0.796749284801993,0.151350756755834,"red"
"29",770,"Ayoze Pérez",18,1480,4,6.39680426940322,1,3.32028612680733,43,23,3,0,"F M","Real Betis",4,6.39680426940322,12.8324060514569,4.97044898197055,"España","23-24",0.243243243243243,0.388994854220466,0.0608108108108108,0.20190929149504,2.61486486486486,1.39864864864865,0.243243243243243,0.388994854220466,0.780349016642649,0.302257032687398,"red"
"30",2275,"Ángel Correa",15,512,4,2.96088413894176,1,1.77262625843287,14,14,1,0,"F M S","Atletico Madrid",4,2.96088413894176,8.31969042867422,3.98322316259146,"España","23-24",0.703125,0.520467915048356,0.17578125,0.311594459490153,2.4609375,2.4609375,0.703125,0.520467915048356,1.46244558316539,0.70017594654928,"red"
"31",2304,"Leo Baptistao",16,951,4,3.66373554244637,0,0.672545377165079,24,9,4,0,"F M S","Almeria",4,3.66373554244637,5.27642882987857,1.17016380280256,"España","23-24",0.378548895899054,0.346725761114798,0,0.0636478274919633,2.27129337539432,0.851735015772871,0.378548895899054,0.346725761114798,0.499346576960117,0.110741053892987,"red"
"32",2551,"Pepelu",19,1694,4,3.53663704637438,0,2.03850605711341,19,29,2,0,"M","Valencia",0,0.563526541925967,5.9158309083432,5.50584333017468,"España","23-24",0.212514757969303,0.187896891483881,0,0.108303155336604,1.00944510035419,1.54073199527745,0,0.0299394266666688,0.31430034341847,0.292518240682244,"red"
"33",6441,"Ferrán Torres",18,798,4,3.72130730189383,1,1.65345198661089,26,18,2,0,"F M S","Barcelona",4,3.72130730189383,6.70471077412367,2.60893582552671,"España","23-24",0.451127819548872,0.419696312243665,0.112781954887218,0.18647954736213,2.93233082706767,2.03007518796992,0.451127819548872,0.419696312243665,0.756170388059061,0.2942408825782,"red"
"34",7008,"Vinícius Júnior",11,784,4,4.11895018070936,1,1.70321516878903,26,10,2,0,"F S","Real Madrid",4,4.11895018070936,7.24827975034714,2.11791913583875,"España","23-24",0.459183673469388,0.472838668703881,0.114795918367347,0.195522149478333,2.98469387755102,1.14795918367347,0.459183673469388,0.472838668703881,0.832072930524544,0.243128472226387,"red"
