"","id","player_name","games","time","goals","x_g","assists","x_a","shots","key_passes","yellow_cards","red_cards","position","team_title","npg","npx_g","x_g_chain","x_g_buildup","liga","season","goals_p90","x_g_p90","assists_p90","x_a_p90","shots_p90","key_passes_p90","npg_p90","npx_g_p90","x_g_chain_p90","x_g_buildup_p90","color_liga"
"759",6351,"Robin Hack",11,241,0,0.973803877830505,2,0.743772134184837,12,4,1,0,"F S","Borussia M.Gladbach",0,0.973803877830505,2.05691742897034,0.478861209005117,"Alemania","23-24",0,0.363661199189815,0.746887966804979,0.277757228533757,4.48132780082988,1.49377593360996,0,0.363661199189815,0.768143438204691,0.178827837387803,"orange"
"760",6403,"Timo Hübers",15,1342,0,0.959131926298141,0,0.061563927680254,12,1,2,0,"D","FC Cologne",0,0.959131926298141,2.39077945426106,2.31581218913198,"Alemania","23-24",0,0.0643233035520363,0,0.00412872838392165,0.804769001490313,0.0670640834575261,0,0.0643233035520363,0.160335432849102,0.155307821923903,"orange"
"761",6411,"Niklas Dorsch",13,982,0,0.504148852080107,0,0,11,0,3,0,"M S","Augsburg",0,0.504148852080107,3.20109909772873,2.92905846051872,"Alemania","23-24",0,0.0462050882761809,0,0,1.0081466395112,0,0,0.0462050882761809,0.293379754374324,0.268447313082164,"orange"
"762",6436,"Stanley N&#039;Soki",2,21,0,0,0,0,0,0,0,0,"S","Hoffenheim",0,0,0,0,"Alemania","23-24",0,0,0,0,0,0,0,0,0,0,"orange"
"763",6595,"Paul Jäckel",4,211,0,0,0,0.0743938460946083,0,2,0,0,"D S","Union Berlin",0,0,0.158658687956631,0.0842648418620229,"Alemania","23-24",0,0,0,0.0317319722678424,0,0.853080568720379,0,0,0.067674321877236,0.0359423496093937,"orange"
"764",6596,"Finn Dahmen",15,1350,0,0,0,0,0,0,2,0,"GK","Augsburg",0,0,1.36708966456354,1.36708966456354,"Alemania","23-24",0,0,0,0,0,0,0,0,0.0911393109709027,0.0911393109709027,"orange"
"765",6626,"Joshua Vagnoman",5,237,0,0.579769156873226,1,0.787920840084553,3,3,0,0,"D S","VfB Stuttgart",0,0.579769156873226,1.12982334941626,1.02072361111641,"Alemania","23-24",0,0.220165502610086,0.379746835443038,0.299210445601729,1.13924050632911,1.13924050632911,0,0.220165502610086,0.429046841550478,0.387616561183447,"orange"
"766",6708,"Bote Baku",15,805,0,0.688236072659492,0,1.52732051163912,10,14,1,0,"D S","Wolfsburg",0,0.688236072659492,4.70251688361168,3.55220143217593,"Alemania","23-24",0,0.0769456478749743,0,0.170756330493815,1.11801242236025,1.56521739130435,0,0.0769456478749743,0.525747229223666,0.397140532789856,"orange"
"767",7048,"Frederik Rönnow",14,1260,0,0,0,0,0,0,1,0,"GK","Union Berlin",0,0,1.8760437220335,1.8760437220335,"Alemania","23-24",0,0,0,0,0,0,0,0,0.134003123002393,0.134003123002393,"orange"
"768",7053,"Pavao Pervan",3,270,0,0,0,0,0,0,0,0,"GK","Wolfsburg",0,0,0,0,"Alemania","23-24",0,0,0,0,0,0,0,0,0,0,"orange"
"769",7075,"Borna Sosa",2,32,0,0.0203590616583824,0,0.012273414991796,1,1,0,0,"S","VfB Stuttgart",0,0.0203590616583824,0.0921085253357887,0.0921085253357887,"Alemania","23-24",0,0.0572598609142005,0,0.0345189796644262,2.8125,2.8125,0,0.0572598609142005,0.259055227506906,0.259055227506906,"orange"
